NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,515.13,1,Brasil,199202,fevereiro 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,567.21,1,Brasil,199203,março 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,662.16,1,Brasil,199204,abril 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,785.81,1,Brasil,199205,maio 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,857.68,1,Brasil,199206,junho 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,937.94,1,Brasil,199207,julho 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,996.37,1,Brasil,199208,agosto 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1081.70,1,Brasil,199209,setembro 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1130.94,1,Brasil,199210,outubro 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1104.20,1,Brasil,199211,novembro 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1119.10,1,Brasil,199212,dezembro 1992,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1161.79,1,Brasil,199301,janeiro 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1168.49,1,Brasil,199302,fevereiro 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1229.71,1,Brasil,199303,março 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1316.42,1,Brasil,199304,abril 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1348.52,1,Brasil,199305,maio 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1467.33,1,Brasil,199306,junho 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1581.70,1,Brasil,199307,julho 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1730.67,1,Brasil,199308,agosto 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1893.13,1,Brasil,199309,setembro 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2031.27,1,Brasil,199310,outubro 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2258.68,1,Brasil,199311,novembro 1993,2265,IPCA - Variação acumulada em 12 meses
